episode_id,youtube_url,upload_date,format,series_name,views,impressions,ctr_pct,avg_view_duration_sec,avg_view_pct,subscribers_gained,likes,comments,shares,shorts_viewed_vs_swiped_pct,returning_viewers_pct,checkpoint(48h/7d/30d),notes
EP-001,,,longform,잊혀진 왕국,,,,,,,,,,,,48h,
SH-001,,,shorts,,,,,,,,,,,,,48h,
