idea_id,episode_id,series_name,format,stage,script_done,shots_planned,shots_generated,higgsfield_credits_used,editor_assigned,title_final,thumbnail_done,upload_date,youtube_url,notes
IDEA-001,EP-001,잊혀진 왕국,longform,script,TRUE,18,0,0,,,FALSE,,,파일럿 1화 대본 완료
IDEA-002,SH-001,,shorts,idea,FALSE,4,0,0,,,FALSE,,,
